latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.53528,73.75288,341.29,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.48,15.41,D
31.87944,75.6425,352.15,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,314.03,8.93,D
31.89155,75.67154,349.55,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,314.12,10,D
31.88969,75.64006,347.25,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.22,5.75,D
31.55102,73.75423,345.27,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.06,6.33,D
32.01846,76.38177,338.41,0.4,0.37,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,306.24,5.58,D
31.89125,75.60771,349.52,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,315.16,11.59,D
31.8937,75.60844,344.5,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.57,8.97,D
31.88631,75.54609,337.35,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.04,3.24,D
31.88884,75.49954,343.76,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.86,10.53,D
31.88838,75.47662,335.88,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.08,3.57,D
31.93214,75.68591,342.12,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.98,4.96,D
31.9291,75.66844,336.8,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.68,6.32,D
31.93251,75.66763,343.83,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,315.72,8.64,D
31.89746,75.44681,334.82,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.92,9.48,D
31.94654,75.64609,346.16,0.42,0.37,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,313.36,5.77,D
31.93853,75.57948,339.86,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.97,3.73,D
31.9204,75.4551,337.99,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.52,2.54,D
31.97458,75.68493,335.23,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.33,2.38,D
31.94522,75.45374,334.76,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.66,1.65,D
32.00792,75.67244,342.21,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.65,5.35,D
31.72202,74.06474,336.24,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.97,3.83,D
31.72565,74.0638,338.43,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.29,3.1,D
31.72474,74.05881,333.26,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.42,3.1,D
31.72404,74.06131,349.08,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,312.78,10.42,D
31.67458,73.78199,335.74,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.76,2.88,D
31.97684,75.40113,337.39,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.24,2.7,D
32.04972,75.65439,349.02,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.78,7.72,D
32.04897,75.65002,344.1,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.47,7.72,D
31.72045,73.75938,333.81,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,304.68,1.67,D
31.77007,74.00237,336.46,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.42,1.85,D
32.01071,75.26726,337.15,0.43,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.28,3.43,D
31.69466,73.54207,334.98,0.51,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,304.83,3.32,D
31.73746,73.70625,343.62,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,307.21,3.92,D
31.74698,73.7363,337.09,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.07,3.21,D
