valid_time,u100,v100,u10,v10,tp,latitude,longitude
2023-09-06 05:00:00,-1.647232,1.2994232,-1.3191681,0.99868774,2.861023e-06,28.5,77.25
2023-09-06 06:00:00,-2.607376,1.67482,-2.1227722,1.3123932,2.4795532e-05,28.5,77.25
2023-09-06 07:00:00,-2.164383,1.4390411,-1.7872162,1.1729279,0.0,28.5,77.25
2023-09-06 08:00:00,-1.988678,0.83813477,-1.6686707,0.6860962,0.0,28.5,77.25
2023-09-06 09:00:00,-2.4337158,0.8388214,-2.0308228,0.6840668,0.0,28.5,77.25
2023-09-06 10:00:00,-1.528656,0.62779236,-1.3571167,0.5183258,0.0,28.5,77.25
2023-09-06 11:00:00,-2.2759247,0.5009308,-1.7674713,0.3839264,0.0,28.5,77.25
2023-09-06 12:00:00,-2.0569916,1.1324158,-1.077652,0.5659027,0.0,28.5,77.25
2023-09-06 13:00:00,-1.0275116,2.9352722,-0.795105,1.8713226,0.0,28.5,77.25
2023-09-06 14:00:00,-0.88290405,3.8878632,-0.81240845,1.9058228,0.0,28.5,77.25
2023-09-06 15:00:00,-0.5266266,3.8746033,-0.7905731,2.0115051,0.0,28.5,77.25
2023-09-06 16:00:00,-0.3673401,3.8148346,-0.8809204,2.1292267,0.0,28.5,77.25
2023-09-06 17:00:00,-0.22294617,4.480057,-0.49978638,1.8179779,0.0,28.5,77.25
2023-09-06 18:00:00,0.4073944,5.1093445,-0.11856079,2.2431793,0.0,28.5,77.25
2023-09-06 19:00:00,1.2003326,4.8929596,0.26553345,2.1313019,0.0,28.5,77.25
2023-09-06 20:00:00,1.4986267,4.659088,0.43766785,2.0259247,0.0,28.5,77.25
2023-09-06 21:00:00,1.8674622,4.39534,0.6878357,1.8769226,0.0,28.5,77.25
2023-09-06 22:00:00,1.7360382,0.957077,1.3668213,0.31677246,0.0,28.5,77.25
2023-09-06 23:00:00,1.3275757,0.8935394,0.86746216,0.5756073,0.0,28.5,77.25
2023-09-07 00:00:00,1.4814453,0.3235321,1.0666962,0.033935547,0.0,28.5,77.25
2023-09-07 01:00:00,1.4528503,-0.17634583,0.5373993,-0.29737854,0.0,28.5,77.25
2023-09-07 02:00:00,1.1031647,-0.4234314,0.55729675,-0.5588074,0.0,28.5,77.25
2023-09-07 03:00:00,0.71707153,-0.7610321,0.45310974,-0.53385925,0.0,28.5,77.25
2023-09-07 04:00:00,0.59729004,-0.68666077,0.48509216,-0.56695557,0.0,28.5,77.25
2023-09-07 05:00:00,0.2678833,-0.5189514,0.23100281,-0.44032288,0.0,28.5,77.25
2023-09-07 06:00:00,-0.60879517,0.13832092,-0.51553345,0.11853027,0.0,28.5,77.25
2023-09-07 07:00:00,-0.99832153,0.41693115,-0.85931396,0.37335205,2.2888184e-05,28.5,77.25
2023-09-07 08:00:00,-1.3237915,0.5110016,-1.1306763,0.43858337,1.1444092e-05,28.5,77.25
2023-09-07 09:00:00,-1.3301697,0.75520325,-1.1447601,0.6337433,5.2452087e-06,28.5,77.25
2023-09-07 10:00:00,-1.6625214,1.288971,-1.290741,1.1323547,0.0,28.5,77.25
2023-09-07 11:00:00,1.0725708,1.0306396,0.9432068,0.87854004,0.0,28.5,77.25
2023-09-07 12:00:00,1.7762909,0.6155548,1.3518677,0.5068512,0.0,28.5,77.25
2023-09-07 13:00:00,2.1992493,1.0598145,1.127594,0.6335449,0.0,28.5,77.25
2023-09-07 14:00:00,2.4609375,1.0190887,1.2682037,0.6421356,0.0,28.5,77.25
2023-09-07 15:00:00,1.9835968,1.1231079,1.4069366,1.0286713,0.0,28.5,77.25
2023-09-07 16:00:00,1.4335785,1.6134491,1.1552582,1.2381134,0.0,28.5,77.25
2023-09-07 17:00:00,1.3206787,2.0006104,1.1554413,1.2075195,0.0,28.5,77.25
2023-09-07 18:00:00,1.3311615,2.3074493,1.121582,1.1898041,0.0,28.5,77.25
2023-09-07 19:00:00,1.1566772,2.247406,1.3068695,1.3682709,0.0,28.5,77.25
2023-09-07 20:00:00,0.83325195,1.8777618,1.1579285,1.1459656,0.0,28.5,77.25
2023-09-07 21:00:00,0.44552612,1.7075806,0.5533447,0.95318604,0.0,28.5,77.25
2023-09-07 22:00:00,-3.135025,1.2091064,-1.4692993,0.08543396,0.0,28.5,77.25
2023-09-07 23:00:00,-4.1991425,0.9206543,-2.0662842,-0.06388855,0.0,28.5,77.25
2023-09-08 00:00:00,-3.817871,0.23069763,-1.8016357,-0.4641571,3.8146973e-06,28.5,77.25
2023-09-08 01:00:00,-3.6242523,-0.8716583,-1.855423,-1.1438751,4.7683716e-07,28.5,77.25
2023-09-08 02:00:00,-2.7259827,-1.2432404,-1.8333435,-1.0726624,0.0,28.5,77.25
2023-09-08 03:00:00,-2.6665497,-0.68847656,-2.1073914,-0.6224365,2.002716e-05,28.5,77.25
2023-09-08 04:00:00,-3.1251068,0.6381073,-2.5267181,0.49154663,5.8174133e-05,28.5,77.25
2023-09-08 05:00:00,-3.4131622,1.6916199,-2.762497,1.3499908,7.534027e-05,28.5,77.25
2023-09-08 06:00:00,-3.1053162,1.3403473,-2.5446014,1.0671539,5.8174133e-05,28.5,77.25
2023-09-08 07:00:00,-3.260727,0.98526,-2.686966,0.7897339,2.861023e-06,28.5,77.25
2023-09-08 08:00:00,-3.250122,0.79273987,-2.6944885,0.6486511,3.8146973e-06,28.5,77.25
2023-09-08 09:00:00,-3.538147,0.03337097,-2.9196472,0.012420654,3.33786e-06,28.5,77.25
2023-09-08 10:00:00,-3.426468,-0.15312195,-2.8137512,0.0032348633,9.8228455e-05,28.5,77.25
2023-09-08 11:00:00,-4.9046173,1.0082703,-3.45578,0.75865173,0.00015354156,28.5,77.25
2023-09-08 12:00:00,-4.3911133,0.969574,-3.1338196,0.79974365,1.859665e-05,28.5,77.25
2023-09-08 13:00:00,-4.434845,1.949295,-2.7598267,1.2916107,0.0,28.5,77.25
2023-09-08 14:00:00,-4.7564545,2.8163757,-2.8054657,1.7051086,0.0,28.5,77.25
2023-09-08 15:00:00,-5.3346252,3.4904633,-3.2483978,2.1138763,0.0,28.5,77.25
2023-09-08 16:00:00,-5.8050995,3.635147,-3.663086,2.2453613,0.0,28.5,77.25
2023-09-08 17:00:00,-5.1083527,3.303482,-3.1998444,2.012497,0.0,28.5,77.25
2023-09-08 18:00:00,-4.4777527,3.3827057,-2.7166138,2.0021515,0.0,28.5,77.25
2023-09-08 19:00:00,-4.343094,3.4883118,-2.6173553,1.9852142,0.00026607513,28.5,77.25
2023-09-08 20:00:00,-4.741577,2.917221,-2.6699982,1.4179993,0.0004682541,28.5,77.25
2023-09-08 21:00:00,-5.422058,2.1522675,-2.8432465,0.8802948,0.0009036064,28.5,77.25
2023-09-08 22:00:00,-6.8954315,1.017395,-3.7582092,0.23962402,0.001203537,28.5,77.25
2023-09-08 23:00:00,-6.054138,0.028564453,-3.0609436,-0.47817993,0.0011425018,28.5,77.25
2023-09-09 00:00:00,-5.4459076,-0.6983795,-2.6361847,-0.8791809,0.0005836487,28.5,77.25
2023-09-09 01:00:00,-4.7484894,-0.8811493,-2.2180634,-0.94392395,0.00048065186,28.5,77.25
2023-09-09 02:00:00,-3.4779205,-1.3551025,-1.6772308,-1.2505646,0.00024032593,28.5,77.25
2023-09-09 03:00:00,-3.4430084,-1.166214,-2.5151215,-1.0036011,0.00015163422,28.5,77.25
2023-09-09 04:00:00,-4.99469,-0.6841583,-3.7714539,-0.5890808,0.00021314621,28.5,77.25
2023-09-09 05:00:00,-4.9812317,-0.7525482,-3.8074646,-0.6434784,0.00011205673,28.5,77.25
2023-09-09 06:00:00,-5.497925,-0.933136,-4.2205963,-0.7787781,0.00016117096,28.5,77.25
2023-09-09 07:00:00,-5.194687,-1.3171539,-3.704895,-0.94903564,0.0014033318,28.5,77.25
2023-09-09 08:00:00,-5.555954,-1.5839539,-3.8823242,-1.1872101,0.00032567978,28.5,77.25
2023-09-09 09:00:00,-6.1199646,-0.7400818,-4.4241486,-0.57788086,0.0010352135,28.5,77.25
2023-09-09 10:00:00,-5.022583,-1.7460785,-3.3451538,-1.220993,0.0009031296,28.5,77.25
2023-09-09 11:00:00,-5.1024933,-2.4575043,-3.035324,-1.6742706,0.00090551376,28.5,77.25
2023-09-09 12:00:00,-6.054718,-2.1661072,-3.3976898,-1.3905792,0.00083875656,28.5,77.25
2023-09-09 13:00:00,-5.398575,-1.0752411,-2.7689056,-0.6800995,0.0008277893,28.5,77.25
2023-09-09 14:00:00,-5.5027466,-0.86364746,-2.7826385,-0.7001648,0.00041484833,28.5,77.25
2023-09-09 15:00:00,-6.2970276,-2.0173035,-3.3216095,-1.4070892,0.0004339218,28.5,77.25
2023-09-09 16:00:00,-6.694351,-3.0191193,-3.5948334,-1.9453735,0.0003490448,28.5,77.25
2023-09-09 17:00:00,-5.961685,-3.772644,-3.03833,-2.3388062,0.0005187988,28.5,77.25
2023-09-09 18:00:00,-4.992035,-4.714325,-2.4837189,-2.8855743,0.0005931854,28.5,77.25
2023-09-09 19:00:00,-4.6658173,-5.849655,-2.1258392,-3.6710663,0.0047125816,28.5,77.25
2023-09-09 20:00:00,-5.125046,-6.0017853,-2.5328522,-3.7836761,0.0056037903,28.5,77.25
2023-09-09 21:00:00,-5.9674683,-5.661911,-3.070633,-3.6385345,0.005472183,28.5,77.25
2023-09-09 22:00:00,-6.2375336,-4.0052185,-3.2050018,-2.7209778,0.00585413,28.5,77.25
2023-09-09 23:00:00,-5.736923,-3.4702454,-3.0300598,-2.439392,0.005154133,28.5,77.25
2023-09-10 00:00:00,-6.352661,-2.928955,-3.5166779,-2.1616364,0.004123211,28.5,77.25
2023-09-10 01:00:00,-5.905365,-2.8157501,-3.3997192,-2.1598206,0.003229618,28.5,77.25
2023-09-10 02:00:00,-5.2611694,-2.7381897,-2.723175,-2.0013428,0.0009551048,28.5,77.25
2023-09-10 03:00:00,-4.875931,-2.6770325,-2.686264,-2.0056915,0.0008339882,28.5,77.25
2023-09-10 04:00:00,-5.024475,-3.1813812,-2.9943848,-2.3534088,0.0006418228,28.5,77.25
2023-09-10 05:00:00,-4.598404,-3.0388489,-2.9718475,-2.1457825,0.0010528564,28.5,77.25
2023-09-10 06:00:00,-4.6312256,-2.8368835,-3.1780548,-2.084671,0.00072813034,28.5,77.25
2023-09-10 07:00:00,-5.038269,-2.258789,-3.4996338,-1.6665039,0.0010790825,28.5,77.25
2023-09-10 08:00:00,-5.429138,-1.5251312,-3.7611237,-1.1498413,0.0012984276,28.5,77.25
2023-09-10 09:00:00,-4.970642,-1.472992,-3.149475,-1.0454254,0.00016880035,28.5,77.25
2023-09-10 10:00:00,-3.4141693,-3.1851654,-2.5372772,-2.3881683,9.202957e-05,28.5,77.25
2023-09-10 11:00:00,-4.3207703,-2.4832,-3.2010345,-1.884018,6.1035156e-05,28.5,77.25
2023-09-10 12:00:00,-4.708618,-2.419693,-3.2346954,-1.7538605,0.00010919571,28.5,77.25
2023-09-10 13:00:00,-4.529358,-2.06044,-2.472168,-1.3391724,0.000207901,28.5,77.25
2023-09-10 14:00:00,-4.338394,-2.0776978,-2.1850128,-1.3216095,4.2915344e-06,28.5,77.25
2023-09-10 15:00:00,-4.124481,-1.5471039,-2.104004,-1.0384979,4.2915344e-06,28.5,77.25
2023-09-10 16:00:00,-4.320923,-1.196701,-2.1834564,-0.9033356,2.3841858e-06,28.5,77.25
2023-09-10 17:00:00,-4.7136993,-1.3204498,-2.4306335,-0.9828491,0.0,28.5,77.25
2023-09-10 18:00:00,-5.002899,-0.9170532,-2.677353,-0.76930237,0.0,28.5,77.25
2023-09-10 19:00:00,-4.8695526,-0.4487915,-2.5671387,-0.5025635,9.536743e-07,28.5,77.25
2023-09-10 20:00:00,-4.2733917,-0.0703125,-2.296112,-0.33636475,8.106232e-06,28.5,77.25
2023-09-10 21:00:00,-3.9193268,-0.3085022,-2.0452423,-0.5371704,3.8146973e-06,28.5,77.25
2023-09-10 22:00:00,-4.1549225,-1.4888306,-1.7539673,-1.1877747,1.4305115e-06,28.5,77.25
2023-09-10 23:00:00,-3.670578,-1.8248444,-1.4508209,-1.3384705,1.9073486e-06,28.5,77.25
2023-09-11 00:00:00,-3.546524,-1.9294281,-1.464859,-1.4068451,1.9073486e-06,28.5,77.25
2023-09-11 01:00:00,-3.0387878,-2.298935,-1.2304382,-1.7548065,3.8146973e-06,28.5,77.25
2023-09-11 02:00:00,-2.4365692,-1.460968,-1.2811737,-1.083786,3.33786e-06,28.5,77.25
2023-09-11 03:00:00,-2.182129,-0.29678345,-1.601532,-0.27537537,3.33786e-06,28.5,77.25
2023-09-11 04:00:00,-2.0724182,-0.63752747,-1.624054,-0.5935364,4.2915344e-06,28.5,77.25
2023-09-11 05:00:00,-2.7207184,-1.2815552,-2.1760864,-1.0968323,6.67572e-06,28.5,77.25
